City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Eirunepe,BR,2021-02-07 14:37:38,-6.6603,-69.8736,87.33,61,99,2.93
67,Obera,AR,2021-02-07 14:39:08,-27.4871,-55.1199,85.42,34,0,3.85
68,Hami,CN,2021-02-07 14:39:09,42.8,93.45,30.69,82,62,2.04
69,Presidencia Roque Saenz Pena,AR,2021-02-07 14:39:09,-26.7852,-60.4388,84.99,45,0,5.01
70,Khorramabad,IR,2021-02-07 14:39:10,33.4878,48.3558,51.8,66,75,11.5
71,Acajutla,SV,2021-02-07 14:39:10,13.5928,-89.8275,68.0,88,0,0.65
72,Nhulunbuy,AU,2021-02-07 14:39:10,-12.2333,136.7667,78.8,83,100,11.5
73,Duvan,RU,2021-02-07 14:39:11,55.695,57.9024,-5.96,89,100,12.82
74,Bundaberg,AU,2021-02-07 14:39:11,-24.85,152.35,82.0,83,40,9.22
75,Quzhou,CN,2021-02-07 14:36:13,28.9594,118.8686,60.04,76,100,5.61
76,Qaanaaq,GL,2021-02-07 14:39:12,77.484,-69.3632,10.8,88,99,3.11
77,Byron Bay,AU,2021-02-07 14:39:12,-28.65,153.6167,77.0,78,90,9.22
78,Avarua,CK,2021-02-07 14:36:53,-21.2078,-159.775,77.0,94,40,4.61
79,Matara,LK,2021-02-07 14:39:13,5.9485,80.5353,77.16,88,36,1.99
80,Labuhan,ID,2021-02-07 14:39:13,-6.8844,112.2051,79.68,83,99,13.2
81,Butaritari,KI,2021-02-07 14:39:14,3.0707,172.7902,80.73,81,6,17.63
82,Punta Arenas,CL,2021-02-07 14:35:00,-53.15,-70.9167,57.2,51,0,10.36
83,Kodiak,US,2021-02-07 14:39:15,57.79,-152.4072,26.6,68,20,5.75
84,Puerto Wilches,CO,2021-02-07 14:39:15,7.3483,-73.896,87.08,65,100,0.81
85,Maragogi,BR,2021-02-07 14:39:15,-9.0122,-35.2225,85.33,63,84,11.27
86,Itarema,BR,2021-02-07 14:39:16,-2.9248,-39.9167,89.78,53,4,14.65
87,Taldan,RU,2021-02-07 14:39:16,53.6667,124.8,-15.21,86,39,3.29
88,Bulawayo,ZW,2021-02-07 14:39:16,-20.15,28.5833,73.99,78,94,4.52
89,Codrington,AU,2021-02-07 14:39:17,-38.2667,141.9667,56.61,68,80,10.69
90,Ilulissat,GL,2021-02-07 14:39:17,69.2167,-51.1,23.0,46,0,35.68
91,Saskylakh,RU,2021-02-07 14:37:18,71.9167,114.0833,-38.58,78,25,11.65
92,Qaqortoq,GL,2021-02-07 14:39:18,60.7167,-46.0333,39.2,33,20,47.18
93,Nara,JP,2021-02-07 14:39:19,34.6851,135.8049,46.0,63,1,3.8
94,Nelson Bay,AU,2021-02-07 14:39:19,-32.7167,152.15,71.6,83,75,11.5
95,Grindavik,IS,2021-02-07 14:39:20,63.8424,-22.4338,35.6,60,0,16.11
96,Kahului,US,2021-02-07 14:39:20,20.8947,-156.47,64.0,77,40,3.44
97,Bethel,US,2021-02-07 14:39:20,41.3712,-73.414,32.0,54,90,5.99
98,Moron,AR,2021-02-07 14:39:21,-34.6534,-58.6198,89.01,36,0,4.0
99,Aklavik,CA,2021-02-07 14:39:21,68.2191,-135.0107,-16.6,76,99,6.91
100,Talnakh,RU,2021-02-07 14:39:21,69.4865,88.3972,-24.18,72,0,3.69
101,Suez,EG,2021-02-07 14:39:22,29.9737,32.5263,69.76,39,0,8.75
102,Mehamn,NO,2021-02-07 14:39:22,71.0357,27.8492,23.04,94,98,20.18
103,Evensk,RU,2021-02-07 14:39:23,61.95,159.2333,18.95,82,100,35.99
104,Vila Franca Do Campo,PT,2021-02-07 14:39:23,37.7167,-25.4333,60.8,82,75,17.27
105,Dingle,PH,2021-02-07 14:39:24,10.9995,122.6711,75.97,90,100,8.84
106,Chara,RU,2021-02-07 14:39:24,56.9064,118.2631,-12.17,75,100,0.49
107,Mar Del Plata,AR,2021-02-07 14:39:24,-38.0023,-57.5575,64.99,77,90,16.11
108,Bayangol,RU,2021-02-07 14:39:25,50.6977,103.4656,-1.77,89,0,3.6
109,Chuy,UY,2021-02-07 14:39:25,-33.6971,-53.4616,76.14,59,1,6.62
110,Hithadhoo,MV,2021-02-07 14:39:26,-0.6,73.0833,82.26,72,64,11.9
111,Souillac,MU,2021-02-07 14:39:27,-20.5167,57.5167,84.2,70,40,12.66
112,San Cristobal,VE,2021-02-07 14:39:27,7.7669,-72.225,80.6,65,20,6.91
113,Santa Isabel,BR,2021-02-07 14:39:27,-23.3156,-46.2214,77.0,57,40,5.75
114,New Norfolk,AU,2021-02-07 14:39:28,-42.7826,147.0587,55.4,58,90,5.75
115,Galle,LK,2021-02-07 14:34:43,6.0367,80.217,79.56,84,77,1.03
116,Khasan,RU,2021-02-07 14:39:28,42.4308,130.6434,11.86,87,3,16.96
117,Port Alfred,ZA,2021-02-07 14:39:30,-33.5906,26.891,70.0,91,42,1.99
118,San Isidro,PE,2021-02-07 14:39:30,-12.1167,-77.05,78.01,78,75,6.91
119,Kapaa,US,2021-02-07 14:39:30,22.0752,-159.319,57.2,88,1,10.36
120,Kuryk,KZ,2021-02-07 14:39:31,43.2,51.65,41.74,77,36,17.85
121,Esperance,AU,2021-02-07 14:39:31,-33.8667,121.9,64.4,82,90,14.97
122,Rocha,UY,2021-02-07 14:39:31,-34.4833,-54.3333,78.93,53,12,4.61
123,Yeppoon,AU,2021-02-07 14:39:32,-23.1333,150.7333,82.4,74,98,6.91
124,Provideniya,RU,2021-02-07 14:39:32,64.3833,-173.3,-3.78,77,0,15.43
125,Tucurui,BR,2021-02-07 14:39:33,-3.7661,-49.6725,89.78,57,62,3.78
126,Rockport,US,2021-02-07 14:39:33,28.0206,-97.0544,57.99,71,1,6.91
127,Bandar-E Lengeh,IR,2021-02-07 14:39:34,26.5579,54.8807,71.6,6,65,6.91
128,Patrasaer,IN,2021-02-07 14:39:34,23.2167,87.5167,69.8,56,0,6.91
129,Cairns,AU,2021-02-07 14:39:34,-16.9167,145.7667,81.0,100,90,3.44
130,Longyearbyen,SJ,2021-02-07 14:39:35,78.2186,15.6401,17.6,67,75,18.41
131,Belyy Yar,RU,2021-02-07 14:39:35,53.6039,91.3903,19.4,86,100,3.06
132,Yellowknife,CA,2021-02-07 14:39:36,62.456,-114.3525,-45.99,66,1,3.44
133,Douglas,US,2021-02-07 14:39:36,41.3,-96.167,1.99,78,90,4.61
134,Suraia,RO,2021-02-07 14:39:36,45.6833,27.4,34.88,87,100,6.11
135,Pudozh,RU,2021-02-07 14:39:37,61.8099,36.5345,-9.29,89,15,3.38
136,Rosarito,MX,2021-02-07 14:39:37,32.3333,-117.0333,51.8,81,1,5.75
137,Jennings,US,2021-02-07 14:39:38,38.7192,-90.2604,8.01,56,40,9.22
138,Dabwali,IN,2021-02-07 14:39:38,29.95,74.7333,61.09,32,0,4.18
139,Zhangye,CN,2021-02-07 14:39:39,38.9342,100.4517,32.0,69,73,8.34
140,Daru,PG,2021-02-07 14:39:39,-9.0763,143.2092,79.48,86,56,12.06
141,Ancud,CL,2021-02-07 14:39:40,-41.8697,-73.8203,72.0,49,0,3.44
142,Severo-Kurilsk,RU,2021-02-07 14:39:40,50.6789,156.125,20.95,90,97,20.62
143,Port Moresby,PG,2021-02-07 14:39:40,-9.4431,147.1797,77.0,100,40,5.75
144,Pangnirtung,CA,2021-02-07 14:39:41,66.1451,-65.7125,26.2,80,0,14.58
145,Vanimo,PG,2021-02-07 14:39:41,-2.6741,141.3028,77.86,86,100,2.37
146,Palmer,US,2021-02-07 14:39:41,42.1584,-72.3287,30.0,67,100,4.03
147,Barcelona,ES,2021-02-07 14:39:13,41.3888,2.159,55.4,50,40,2.3
148,Geraldton,AU,2021-02-07 14:39:42,-28.7667,114.6,69.8,78,40,10.36
149,East London,ZA,2021-02-07 14:39:43,-33.0153,27.9116,75.2,73,0,13.8
150,Haysville,US,2021-02-07 14:39:43,37.5645,-97.3523,16.0,85,90,10.36
151,Zheleznodorozhnyy,RU,2021-02-07 14:36:16,55.7503,38.0042,10.4,72,40,8.95
152,Hofn,IS,2021-02-07 14:39:44,64.2539,-15.2082,33.8,93,75,4.61
153,Arraial Do Cabo,BR,2021-02-07 14:39:44,-22.9661,-42.0278,78.8,73,75,8.05
154,Mae Hong Son,TH,2021-02-07 14:39:44,19.3003,97.9685,65.39,83,38,2.06
155,Chokwe,MZ,2021-02-07 14:37:13,-24.5333,32.9833,87.64,55,100,4.83
156,Lebu,CL,2021-02-07 14:39:45,-37.6167,-73.65,62.51,79,79,4.23
157,Colares,PT,2021-02-07 14:39:46,38.7992,-9.4469,57.0,76,75,12.66
158,Ucluelet,CA,2021-02-07 14:39:46,48.9329,-125.5528,34.0,89,0,15.43
159,Hasilpur,PK,2021-02-07 14:38:27,29.7122,72.5553,66.58,25,0,7.14
160,Faanui,PF,2021-02-07 14:39:47,-16.4833,-151.75,80.78,76,5,12.28
161,Huarmey,PE,2021-02-07 14:39:47,-10.0681,-78.1522,75.92,61,100,6.55
162,Dubbo,AU,2021-02-07 14:39:47,-32.25,148.6167,66.2,72,75,8.05
163,Norman Wells,CA,2021-02-07 14:39:48,65.282,-126.8329,-20.2,76,75,4.61
164,Isiro,CD,2021-02-07 14:39:48,2.7739,27.616,92.03,15,59,4.25
165,San Patricio,US,2021-02-07 14:39:49,28.017,-97.5169,51.8,71,1,5.99
166,Nimaparha,IN,2021-02-07 14:39:49,20.0667,86.0167,75.2,53,20,6.67
167,Lorengau,PG,2021-02-07 14:39:49,-2.0226,147.2712,81.91,81,97,8.95
168,Cayenne,GF,2021-02-07 14:39:50,4.9333,-52.3333,78.8,100,75,9.22
169,Kaohsiung,TW,2021-02-07 14:39:50,22.6163,120.3133,70.0,78,40,4.61
170,Petropavlovsk-Kamchatskiy,RU,2021-02-07 14:39:50,53.0452,158.6483,23.0,86,75,6.71
171,Castro,BR,2021-02-07 14:39:51,-24.7911,-50.0119,72.48,47,0,3.56
172,Saint-Philippe,RE,2021-02-07 14:39:51,-21.3585,55.7679,86.0,66,40,8.05
173,Darhan,MN,2021-02-07 14:39:52,49.4867,105.9228,4.48,88,6,6.35
174,Tacuarembo,UY,2021-02-07 14:39:53,-31.7333,-55.9833,82.89,43,0,4.76
175,Tuatapere,NZ,2021-02-07 14:39:53,-46.1333,167.6833,55.0,73,100,4.9
176,Cidreira,BR,2021-02-07 14:39:54,-30.1811,-50.2056,76.77,66,63,8.7
177,Xiaolingwei,CN,2021-02-07 14:39:54,32.0333,118.85,48.99,81,75,13.42
178,Bafq,IR,2021-02-07 14:38:53,31.6128,55.4107,66.07,28,11,19.37
179,Siavonga,ZM,2021-02-07 14:39:55,-16.5382,28.7088,84.63,64,98,2.66
180,Kampot,KH,2021-02-07 14:39:55,10.6167,104.1833,77.0,88,20,1.14
181,Cordoba,AR,2021-02-07 14:38:40,-31.4135,-64.1811,86.0,50,20,16.11
182,Hinton,CA,2021-02-07 14:39:56,53.4001,-117.5857,-31.0,75,0,1.14
183,Popondetta,PG,2021-02-07 14:39:57,-8.7537,148.2534,75.99,86,32,1.86
184,Balakhninskiy,RU,2021-02-07 14:39:57,58.0106,114.2769,2.14,89,100,3.02
185,Nizhniy Lomov,RU,2021-02-07 14:39:57,53.5304,43.6766,-3.28,90,100,13.24
186,Chiredzi,ZW,2021-02-07 14:39:59,-21.05,31.6667,86.23,56,75,7.09
187,Nizwa,OM,2021-02-07 14:39:59,22.9333,57.5333,62.76,34,0,2.62
188,Klaksvik,FO,2021-02-07 14:40:01,62.2266,-6.589,32.0,100,75,17.27
189,Nuqui,CO,2021-02-07 14:40:03,5.7125,-77.2708,83.53,78,99,2.51
190,Bambous Virieux,MU,2021-02-07 14:40:05,-20.3428,57.7575,84.2,70,40,12.66
191,Baykit,RU,2021-02-07 14:40:06,61.67,96.37,26.31,96,100,4.85
192,Tulay,PH,2021-02-07 14:40:06,14.2697,120.7692,81.0,74,20,3.44
193,Broome,US,2021-02-07 14:40:06,42.2506,-75.833,28.0,74,90,10.36
194,Saldanha,ZA,2021-02-07 14:40:07,-33.0117,17.9442,75.2,46,0,25.32
195,Constitucion,CL,2021-02-07 14:40:07,-35.3333,-72.4167,64.62,73,98,2.66
196,Novooleksiyivka,UA,2021-02-07 14:40:08,46.2269,34.6428,30.88,82,97,9.37
